index,answer,question
27,331.5,"Noah's oven thermometer gives a reading that is 2% greater than the actual temperature. If the actual temperature is 325&ordm;F, what will the thermometer reading be? Round your answer to the tenths place. Do not include units (degrees) in your answer."
28,40,"A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate? Do not include the percent sign (%) in your answer."
29,0.19,"A radar gun measured the speed of a baseball at 103 miles per hour. If the baseball was actually going 102.8 miles per hour, what was the percent error in this measurement? Do not include the percent sign (%) in your answer. Round your answer to two decimal places after solving for the percent."
30,255,"A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle. At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface. What is the difference in height between the submarine and the aircraft? Do not include units (m) in your answer."
31,-2.55,Some boats were traveling up and down a river. A satellite recorded the movements of several boats. A motor boat traveled -3.4 miles per hour for 0.75 hours. How far did it go? Do not include units (miles) in your answer.
32,-280,A submarine is only allowed to change its depth by rising toward the surface in 60-meter stages. It starts off at -340 meters. At what depth is it after 1 stage Do not include units (m) in your answer.
33,11,A coffee maker's directions say to use 2 tablespoons of ground coffee for every 6 ounces of water. How much coffee should you use for 33 ounces of water? Do not include units (tablespoons) in your answer.
34,12,"A bank charges a service fee of $7.50 per month for a checking account. A bank account has $85.00. If no money is deposited or withdrawn except the service charge, how many months until the account balance is negative? Do not include units (months) in your answer."
35,300,"A large aquarium of water is being filled with a hose. Due to a problem, the sensor does not start working until some time into the filling process. The sensor starts its recording at the time zero minutes. The sensor initially detects the tank has 225 liters of water in it. The hose fills the aquarium at a constant rate of 15 liters per minute. What will the sensor read at the time of 5 minutes? Do not include units (liters) in your answer."
36,24.15,A restaurant bill is $21. You leave a 15% tip. How much do you pay including the tip? Do not include units ($) in your answer.
37,28,Andre wants to buy a backpack. The normal price of the backpack is $40. He notices that a store that sells the backpack is having a 30% off sale. What is the sale price of the backpack? Do not include units ($) in your answer
38,25,"On the first math exam, 16 students received an A grade. On the second math exam, 12 students received an A grade. What percentage decrease is that? Do not include the percent sign (%) in your answer. "
39,-10,Find the value of each variable. a*3 = -30 a = _____
40,58,The baby giraffe weighed 132 pounds at birth. He gained weight at a steady rate for the first 7 months until his weight reached 538 pounds. How much did he gain each month? Do not include units (pounds) in your answer.
41,"8,953.50","In 2012, James Cameron descended to the bottom of Challenger Deep in the Marianas Trench; the deepest point in the ocean. The vessel he rode in was called DeepSea Challenger. Challenger Deep is 35,814 feet deep at its lowest point. DeepSea Challenger's descent was a change in depth of (-4) feet per second. We can use the equation y=-4x to model this relationship, where y is the depth and xis the time in seconds that have passed. How many seconds does this model suggest it would take for DeepSea Challenger to reach the bottom? Do not include units (seconds) in your answer."
42,5.5,"Starting at noon, the temperature dropped steadily at a rate of 0.8 degrees Celsius every hour. How many hours did it take for the temperature to decrease by 4.4 degrees Celsius? Do not include units (hours) in your answer."
43,16,A backpack normally costs $25 but it is on sale for $21. What percentage is the discount? Do not include the percent sign (%) in your answer.
44,7,"One year ago, Clare was 4 feet 6 inches tall. Now Clare is 4 feet 10 inches tall. By what percentage did Clare's height increase in the last year? Round your answer to the nearest whole number. Do not include the percent sign (%) in your answer. "
45,8,Lin's puppy is gaining weight at a rate of 0.125 pounds per day. Describe the weight gain in days per pound. Do not include units (days) in your answer.
46,8.8,The price of a pair of earrings is $22 but Priya buys them on sale for $13.20. By how much was the price discounted? Do not include units ($) in your answer.
47,13.52,At a skateboard shop the price tag on a shirt says $12.58. Sales tax is 7.5% of the price. How much will you pay for the shirt? Do not include units ($) in your answer.
48,446,"A passenger on a ship dropped his camera into the ocean. If it is descending at a rate of -4.2 meters per second, how long (in seconds) until it hits the bottom of the ocean, which is at -1875 meters? Round to the nearest second. Do not include units (seconds) in your answer."
49,1,"A triangle has sides of length 7 cm, 4 cm, and 5 cm. How many unique triangles can be drawn that fit that description? Do not include units (unique triangles) using the tools below."
50,318,"If you deposit $300 in an account with a 6% interest rate, how much will be in your account after 1 year? Do not include units (dollars) in your answer. "
51,60,Two angles are supplementary. One has a measure that is twice as large as the other. Find the two angle measures. What is the measure of the smaller angle? Do not include units (degrees) in your answer.
52,5,"Priya's cat is pregnant with a litter of 5 kittens. Each kitten has a 30% chance of being chocolate brown. Priya wants to know the probability that at least two of the kittens will be chocolate brown. To simulate this, Priya put 3 white cubes and 7 green cubes in a bag. (This means that the white cubes represent the chances of a brown cat.) For each trial, Priya pulled out and returned a cube 5 times. Priya conducted 12 trials. Here is a table with the results. trial number outcome 1 ggggg 2 gggwg 3 wgwgw 4 gwggg 5 gggwg 6 wwggg 7 gwggg 8 ggwgw 9 wwwgg 10 ggggw 11 wggwg 12 gggwg How many successful trials were there?"
53,30,"A factory produces 3 bottles of sparkling water for every 7 bottles of plain water. If those are the only two products they produce, what percentage of their production is sparkling water? Do not include the percent sign (%) in your answer."
54,30,Angle H is half as large as angle J. Angle J is one fourth as large as angle K. Angle K has a measure of 240 degrees. What is the measure of angle H? Do not include units (&deg;) in your answer.
55,14.4,"Today, everything at a store is on sale. The store offers a 20% discount. The regular price of a T-shirt is $18. What is the discount price? Do not include units ($) in your answer."
56,18.19,"Lin's father is paying for a $20 meal. He has a 15%-off coupon for the meal. After the discount, a 7% sales tax is applied. What does Lin's father pay for the meal? Do not include units ($) in your answer."
57,2.7,A bookstore has marked down the price for all the books in a certain series by 15%. How much is the discount on a book that normally costs $18.00? Do not include units ($) in your answer.
58,25,"Andre received and spent money in the following ways last month. For each example, write a positive or negative number to represent the change in money from his perspective. His uncle gave him $25 as a present."
59,1148,"A video game developer wants to know how long it takes people to finish playing their new game. They surveyed a random sample of 13 players and asked how long it took them (in minutes). 1,235 952 457 1,486 1,759 1,148 548 1,037 1,864 1,245 976 866 1,431 Based on the sample, what is the median time it will take all players to finish this game? Do not include units (minutes) in your answer."
60,6,"Ten students each attempted 10 free throws. This list shows how many free throws each student made. 8, 5, 6, 6, 4, 9, 7, 6, 5, 9 What is the median number of free throws made? Do not include units (free throws) in your answer."
61,8.975,"A farmer grows 5,000 pumpkins each year. The pumpkins are priced according to their weight, so the farmer would like to estimate the mean weight of the pumpkins he grew this year. He randomly selects 8 pumpkins and weighs them. Here are the weights (in pounds) of these pumpkins: 2.9 6.8 7.3 7.7 8.9 10.6 12.3 15.3 Estimate the mean weight of the pumpkins the farmer grew. Do not include units (pounds) in your answer."
62,6.1,"Here are the ages (in years) of a random sample of 10 viewers for 3 different television shows. The shows are titled, ""Science Experiments YOU Can Do,"" ""Learning to Read,"" and ""Trivia the Game Show."" Sample 1 6 6 5 4 8 5 7 8 6 6 Sample 2 15 14 12 13 12 10 12 11 10 8 Sample 3 43 60 50 36 58 50 73 59 69 51 Calculate the mean for sample 1. Do not include units (years) in your answer."
63,10,Your teacher will give you a figure with measurements in centimeters. What is the area of your figure? Do not include units in your answer.
64,350,"Your teacher will give you a drawing of the Apollo Lunar Module. It is drawn at a scale of 1 to 50. The ""legs"" of the spacecraft are its landing gear. Measure the legs on the drawing to find the actual length of each leg on the sides. After measuring and solving for the actual length, write your answer to the nearest 10 centimeters. Do not include units (centimeters) in your answer."
65,150,"Aluminum cans can be recycled instead of being thrown in the garbage. The weight of 10 aluminum cans is 0.16 kilograms. The aluminum in 10 cans that are recycled has a value of $0.14. If a family threw away 2.4 kg of aluminum in a month, how many cans did they throw away? Do not include units (cans) in your answer."
66,165,"Andre drew a plan of a courtyard at a scale of 1 to 60. On his drawing, one side of the courtyard is 2.75 inches. What is the actual measurement of that side of the courtyard? Express your answer in inches. Do not include units (inches) in your answer."
67,5,"When you mix two colors of paint in equivalent ratios, the resulting color is always the same. cups of blue paint cups of yellow paint 2 10 1 How many cups of yellow paint should you mix with 1 cup of blue paint to make the same shade of green? Do not include units (cups) in your answer."
68,700,"Based on her recipe, Elena knows that 5 servings of granola have 1,750 calories. If she eats 2 servings of granola, how many calories does she eat? Do not include units (calories) in your answer."
69,0.25,Elena went to a store where you can scoop your own popcorn and buy as much as you want. She bought 10 ounces of spicy popcorn for $2.50. How much does popcorn cost per ounce? Do not include units ($) in your answer.
70,45,"The number of fish in a lake decreased by 25% between last year and this year. Last year there were 60 fish in the lake. What is the population this year? If you get stuck, consider drawing a diagram."
71,66.25,"A company claims that their new bottle holds 25% more laundry soap. If their original container held 53 fluid ounces of soap, how much does the new container hold? Do not include units (oz) in your answer."
72,5.61,"At a dinner, the meal cost $22 and a sales tax of $1.87 was added to the bill. How much would the sales tax be on a $66 meal? Do not include units ($) in your answer."
73,4,"To be labeled as a jumbo egg, the egg is supposed to weigh 2.5 oz. Priya buys a carton of jumbo eggs and measures one of the eggs as 2.4 oz. What is the percent error? Do not include the percent sign (%) in your answer."
74,-14.57,"Lin's sister has a checking account. If the account balance ever falls below zero, the bank charges her a fee of $5.95 per day. Today, the balance in Lin's sister's account is -$2.67. If she does not make any deposits or withdrawals, what will be the balance in her account after 2 days? Do not include units ($) in your answer."
75,14,"Diego scored 9 points less than Andre in the basketball game. Noah scored twice as many points as Diego. If Noah scored 10 points, how many points did Andre score?"
76,0.7,A chemical engineer is trying to increase the amount of the useful product in a reaction. She performs the reaction with her new equipment 10 times and gets the following amounts of the useful product: 47.1 48.2 48.3 47.5 48.5 48.1 47.2 48.2 48.4 48.3 What proportion of the reactions were above the 48 grams threshold?
77,"3,900","The circumference of a car wheel is about 65 inches. If the car wheel rotates once per second, how far does the car travel in one minute? Do not include units (inches) in your answer."
78,616,Elena wants to tile the top of a circular table. The diameter of the table top is 28 inches. What is its area? Do not include units (square inches) in your answer. Round your answer to the nearest whole number.
79,91.2,"Tyler swims at a constant speed, 5 meters every 4 seconds. How long does it take him to swim 114 meters? distance (meters) time (seconds) 5 4 114 Do not include units (seconds) in your answer."
80,198,"Green sea turtles live most of their lives in the ocean, but come ashore to lay their eggs. Some beaches where turtles often come ashore have been made into protected sanctuaries so the eggs will not be disturbed. One sanctuary had 180 green sea turtles come ashore to lay eggs last year. This year, the number of turtles increased by 10%. How many turtles came ashore to lay eggs in the sanctuary this year? Do not include units (turtles) in your answer"
81,106,"Money in a particular savings account increases by about 6% after a year. How much money will be in the account after one year if the initial amount is $100? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer."
82,850,"The value of a new car decreases by about 15% in the first year. How much will a car be worth after one year if its initial value was $1,000? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer."
83,3840,"A car dealership pays a wholesale price of $12,000 to purchase a vehicle. The car dealership wants to make a 32% profit. By how much will they mark up the price of the vehicle? Do not include units ($) in your answer."
84,16,"For each gym membership sold, the gym keeps $42 and the employee who sold it gets $8. What is the commission the employee earned as a percentage of the total cost of the gym membership? Do not include the percent sign (%) in your answer."
85,3.8,"A salesperson sold a car for $18,250 and their commission is $693.50. What percentage of the sale price is their commission? Do not include the percent sign (%) in your answer."
86,18.52,The bill for a meal was $33.75. The customer left $40.00. What percentage of the bill was the tip? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.
87,21.33,The original price of a bicycle was $375. Now it is on sale for $295. What percentage of the original price was the markdown? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.
88,14,"A soccer field is 120 yards long. Han measures the length of the field using a 30-foot-long tape measure and gets a measurement of 358 feet, 10 inches. What is the amount of the error? Do not include units (inches) in your answer."
89,18,"One winter day, the temperature in Houston is 8&deg; Celsius. Find the temperatures in these other cities. Explain or show your reasoning. In Orlando, it is 10&deg; warmer than it is in Houston. Do not include units (degrees) in your answer."
90,-15,Priya wants to buy three tickets for a concert. She has earned $135 and each ticket costs $50. She borrows the rest of the money she needs from a bank and buys the tickets. How can you represent the amount of money that Priya has after buying the tickets? Do not include units ($) in your answer.
91,-3.51,Han's family got a solar panel. Each month they get a credit to their account for the electricity that is generated by the solar panel. The credit they receive varies based on how sunny it is. In January they used $83.56 worth of electricity and generated $6.75 worth of electricity. Here is their electricity bill from January. Current charges: $83.56 Solar credit: -6.75 Amount due: $76.81 In July they were traveling away from home and only used $19.24 worth of electricity. Their solar panel generated $22.75 worth of electricity. What was their amount due in July? Do not include units ($) in your answer.
92,-37.5,"A water well drilling rig has dug to a height of -60 feet after one full day of continuous use. Assuming the rig drilled at a constant rate, what was the height of the drill after 15 hours? Do not include units (ft) in your answer."
93,77.94,A utility company charges $0.12 per kilowatt-hour for energy a customer uses. They give a credit of $0.025 for every kilowatt-hour of electricity a customer with a solar panel generates that they don't use themselves. A customer has a charge of $82.04 and a credit of -$4.10 on this month's bill. What is the amount due this month? Do not include units ($) in your answer.
94,13,Solve each equation 100(x - 3) = 1000 x = _____
95,3.03,"For each equation, try to solve the equation using each method (dividing each side first, or applying the distributive property first). Some equations are easier to solve by one method than the other. When that is the case, stop doing the harder method and write down the reason you stopped. 2000(x - 0.03) = 6000 x = ____"
96,9.25,"A family of 6 is going to the fair. They have a coupon for $1.50 off each ticket. If they pay $46.50 for all their tickets, how much does a ticket cost without the coupon? Do not include units ($) in your answer."
97,14,Find the value of each expression mentally. 2 + 3 * 4
98,5,A wood floor is made by laying multiple boards end to end. Each board is measured with a maximum percent error of 5%. What is the maximum percent error for the total length of the floor? Do not include the percent sign (%) in your answer.
99,5.5,Fill in the blank with a number that makes the expression on the right side of the equal sign equivalent to the expression on the left side. 5x - 2.5 + 6x - 3 = ___ (2x - 1)
100,14,A rectangle that is 2 inches by 3 inches has been scaled by a factor of 7. What are the side lengths of the scaled copy? What is the length of the shorter side? Do not include units (inches) in your answer.
101,36,Noah enlarged a photograph by a scale factor of 6. The area of the enlarged photo is how many times as large as the area of the original?
102,12.5,"A scale drawing of a lake has a scale of 1 cm to 80 m. If the actual width of the lake is 1,000 m, what is the width of the lake on the scale drawing? Do not include units (cm) in your answer."
103,-4.8,Add. -9.2 + 4.4
104,-93.4,Add. -81.4 + (-12)
105,-8,Solve the equation. x -(-6) = -2
106,2,Solve the equation. -3x + 7 = 1
107,-3,Solve the equation. 25x + (-11) = -86
108,-7,Solve the equation. -5(x-1) = 40
109,48,"How many different outcomes are in the sample space? (You do not need to write out the actual options, just provide the number and your reasoning.) A baseball team's cap is selected from 3 different colors, 2 different clasps, and 4 different locations for the team logo. A decision is made to include or not to include reflective piping."
110,64000,"How many different outcomes are in the sample space? (You do not need to write out the actual options, just provide the number and your reasoning.) A locker combination like 7-23-11 uses three numbers, each from 1 to 40. Numbers can be used more than once, like 7-23-7."
111,12.8,The scale of a map says that 8 cm represents 5 km. What distance on the map (in centimeters) represents an actual distance of 8 kilometers? Do not include units (cm) in your response.
